Camus, Albert: Cizinec
Čapek, Karel: Bílá nemoc
Čapek, Karel: R.U.R.
Dyk, Viktor: Krysař
Fuks, Ladislav: Spalovač mrtvol
Goethe, Johann Wolfgang: Utrpení mladého Werthera
Hemingway, Ernest: Stařec a moře
Hrabal, Bohumil: Ostře sledované vlaky
Jirotka, Zdeněk: Saturnin
Kafka, Franz: Proměna
Orwell, George: 1984
Poe, Edgar Allan: Černý kocour (výbor z povídek)
Remarque, Erich Maria: Na západní frontě klid
Rimbaud, Jean Arthur: Opilý koráb
Saint – Exupéry, Antoine de: Malý princ
Salinger, Jerome David: Kdo chytá v žitě
Shakespeare, William: Sonety
Svěrák, Zdeněk – Smoljak, Ladislav: Vyšetřování ztráty třídní knihy
Tolkien, John Ronald Reuel: Hobit
Wilde, Oscar: Obraz Doriana Graye
